Index       FREQ           Re(V(OUT))        Im(V(OUT))         Re(V(IN))         Im(V(IN))    
98       7.94328235e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
99       8.91250938e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
100      1.00000000e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
101      1.12201845e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
102      1.25892541e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
103      1.41253754e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
104      1.58489319e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
105      1.77827941e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
106      1.99526231e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
107      2.23872114e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
108      2.51188643e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
109      2.81838293e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
110      3.16227766e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
111      3.54813389e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
112      3.98107171e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
113      4.46683592e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
114      5.01187234e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
115      5.62341325e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
116      6.30957344e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
117      7.07945784e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
118      7.94328235e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
119      8.91250938e+05   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
120      1.00000000e+06   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
End of Xyce(TM) Simulation
